Data,Total de solicitações de rastreamento,Tamanho total do download (bytes),Média do tempo de resposta (ms)
2026-06-28,261,597053,97
2026-06-29,124,625383,105
2026-06-30,6,10006,86
2026-07-01,37,81673,104
2026-07-02,94,401964,102
2026-07-03,88,1937302,90
2026-07-04,17,271601,106
2026-07-05,45,312415,115
