Resposta,Relação do total de solicitações
OK (200),0.9491
Não foi possível acessar a página,0.0165
robots.txt indisponível,0.0131
Conteúdo movido permanentemente (301),0.0079
Não encontrado (404),0.0076
Não modificado (304),0.0048
Conteúdo movido temporariamente (302),0.0010
