Tipo de arquivo,Relação do total de solicitações
Outro tipo de arquivo,0.7024
JavaScript,0.1481
HTML,0.0875
JSON,0.0168
CSS,0.0155
Imagem,0.0148
Desconhecido (solicitações com falha),0.0148
