Host,Crawl requests,Status
goiania.roilabs.com.br,1791,No problems
atma.roilabs.com.br,846,No problems
sirius.roilabs.com.br,659,No problems
www.sirius.roilabs.com.br,658,Problems last week
sofiaia.roilabs.com.br,571,No problems
roilabs.com.br,388,No problems
alibi.roilabs.com.br,291,No problems
tapepro.roilabs.com.br,259,No problems
verticemarketing.roilabs.com.br,213,No problems
orcaobra.roilabs.com.br,161,No problems
vertice.roilabs.com.br,112,No problems
vertex-landing-craft.roilabs.com.br,92,No problems
pathfinder.roilabs.com.br,82,Problems in the past
atmaadmin.roilabs.com.br,72,No problems
cardiorisk.roilabs.com.br,71,No problems
orion.roilabs.com.br,68,No problems
qprime.roilabs.com.br,52,No problems
app.roilabs.com.br,49,No problems
www.roilabs.com.br,46,Problems in the past
meridian.roilabs.com.br,42,No problems
