Tipo do Googlebot,Relação do total de solicitações
Computador,0.4682
Carregamento de recurso da página,0.2202
Smartphone,0.2014
Outro tipo de agente,0.0576
Imagem,0.0476
AdsBot,0.0044
Vídeo,0.0006
