Response,Total requests ratio
OK (200),0.8204
Not found (404),0.0646
Moved permanently (301),0.0638
Moved temporarily (302),0.0263
Page could not be reached,0.0139
robots.txt not available,0.0097
Other client error (4XX),0.0009
Not modified (304),0.0004
