File type,Total requests ratio
HTML,0.1507
JavaScript,0.1151
Image,0.1137
Other file type,0.0805
CSS,0.0280
JSON,0.0032
Syndication,0.0017
Video,0.0002
Unknown (failed requests),0.5070
