Host,Crawl requests,Status
goiania.roilabs.com.br,1550,No problems
sirius.roilabs.com.br,849,No problems
atma.roilabs.com.br,831,No problems
sofiaia.roilabs.com.br,620,No problems
www.sirius.roilabs.com.br,620,Problems last week
roilabs.com.br,369,No problems
alibi.roilabs.com.br,306,No problems
tapepro.roilabs.com.br,242,No problems
verticemarketing.roilabs.com.br,126,No problems
orcaobra.roilabs.com.br,103,No problems
vertice.roilabs.com.br,96,No problems
pathfinder.roilabs.com.br,94,Problems in the past
vertex-landing-craft.roilabs.com.br,90,No problems
atmaadmin.roilabs.com.br,72,No problems
orion.roilabs.com.br,59,No problems
www.roilabs.com.br,59,Problems in the past
app.roilabs.com.br,49,No problems
jbadvocacia.roilabs.com.br,48,Problems in the past
cardiorisk.roilabs.com.br,41,No problems
qprime.roilabs.com.br,38,No problems
