Response,Total requests ratio
OK (200),0.5084
DNS error,0.3413
Moved permanently (301),0.0786
robots.txt not available,0.0459
Not found (404),0.0219
Not modified (304),0.0025
Moved temporarily (302),0.0013
Page could not be reached,0.0001
