Date,Total crawl requests,Total download size (Bytes),Average response time (ms)
2026-04-25,150,1302136,254
2026-04-26,61,375297,202
2026-04-27,85,820985,229
2026-04-28,70,1385885,322
2026-04-29,40,212168,212
2026-04-30,66,450494,129
2026-05-01,66,364674,172
2026-05-02,47,173175,165
2026-05-03,45,404314,226
2026-05-04,114,1273565,205
2026-05-05,89,731234,187
2026-05-06,50,83855,115
2026-05-07,102,752366,254
2026-05-08,59,498656,192
2026-05-09,65,1311358,139
2026-05-10,65,641082,269
2026-05-11,82,458041,163
2026-05-12,45,476146,130
2026-05-13,98,554708,144
2026-05-14,36,143951,96
2026-05-15,55,1656379,170
2026-05-16,65,251281,94
2026-05-17,102,1275208,190
2026-05-18,121,766542,243
2026-05-19,25,195276,120
2026-05-20,75,509517,118
2026-05-21,62,641039,191
2026-05-22,73,613614,275
2026-05-23,64,298055,134
2026-05-24,33,1008023,114
2026-05-25,59,216013,796
2026-05-26,78,1095647,93
2026-05-27,82,265745,193
2026-05-28,55,241821,147
2026-05-29,51,33432,71
2026-05-30,50,50993,48
2026-05-31,54,64388,60
2026-06-01,95,631044,192
2026-06-02,61,272589,1164
2026-06-03,44,253651,167
2026-06-04,54,100088,174
2026-06-05,72,16303738,112
2026-06-06,48,84351,51
2026-06-07,54,16028,7
2026-06-08,44,0,0
2026-06-09,60,0,0
2026-06-10,27,0,0
2026-06-11,42,0,0
2026-06-12,22,0,0
2026-06-13,53,0,0
2026-06-14,49,0,0
2026-06-15,60,0,0
2026-06-16,55,0,0
2026-06-17,53,0,0
2026-06-18,49,0,1
2026-06-19,56,0,0
2026-06-20,42,0,0
2026-06-21,42,0,0
2026-06-22,58,0,0
2026-06-23,70,0,0
2026-06-24,63,0,0
2026-06-25,68,0,0
2026-06-26,59,0,0
2026-06-27,54,0,0
2026-06-28,367,1552449,83
2026-06-29,216,970848,77
2026-06-30,105,337798,49
2026-07-01,106,252163,62
2026-07-02,164,655672,70
2026-07-03,152,2150218,56
2026-07-04,71,271601,25
2026-07-05,98,358707,66
2026-07-06,107,607234,84
2026-07-07,65,230495,26
2026-07-08,70,377638,74
2026-07-09,45,985695,37
2026-07-10,84,885858,60
2026-07-11,75,675219,50
2026-07-12,83,450437,70
2026-07-13,65,400396,51
2026-07-14,43,101317,33
2026-07-15,61,267265,43
2026-07-16,40,121020,24
2026-07-17,59,139404,36
2026-07-18,41,211477,31
2026-07-19,64,313634,26
2026-07-20,93,2897838,91
2026-07-21,59,460846,40
2026-07-22,82,561002,47
