Host,Crawl requests,Status
goiania.roilabs.com.br,1444,No problems
sirius.roilabs.com.br,994,No problems
atma.roilabs.com.br,839,No problems
sofiaia.roilabs.com.br,718,No problems
www.sirius.roilabs.com.br,601,Problems last week
roilabs.com.br,363,No problems
alibi.roilabs.com.br,351,No problems
tapepro.roilabs.com.br,232,No problems
atmaadmin.roilabs.com.br,148,No problems
verticemarketing.roilabs.com.br,126,No problems
pathfinder.roilabs.com.br,108,Problems in the past
orcaobra.roilabs.com.br,90,No problems
vertex-landing-craft.roilabs.com.br,90,No problems
jbadvocacia.roilabs.com.br,65,Problems in the past
www.roilabs.com.br,63,Problems in the past
vertice.roilabs.com.br,61,No problems
orion.roilabs.com.br,58,No problems
app.roilabs.com.br,49,No problems
cardiorisk.roilabs.com.br,41,No problems
qprime.roilabs.com.br,35,No problems
