Host,Crawl requests,Status
sirius.roilabs.com.br,1232,No problems
goiania.roilabs.com.br,1095,No problems
atma.roilabs.com.br,875,No problems
sofiaia.roilabs.com.br,843,No problems
www.sirius.roilabs.com.br,653,Problems last week
alibi.roilabs.com.br,465,No problems
roilabs.com.br,327,Problems in the past
atmaadmin.roilabs.com.br,187,No problems
tapepro.roilabs.com.br,179,No problems
pathfinder.roilabs.com.br,136,Problems in the past
www.roilabs.com.br,94,Problems in the past
vertex-landing-craft.roilabs.com.br,89,No problems
jbadvocacia.roilabs.com.br,82,Problems in the past
verticemarketing.roilabs.com.br,75,No problems
vertice.roilabs.com.br,65,No problems
orion.roilabs.com.br,63,No problems
app.roilabs.com.br,49,No problems
clerk.atma.roilabs.com.br,45,No problems
andorinha.roilabs.com.br,28,Problems in the past
cardiorisk.roilabs.com.br,28,No problems
