Response,Total requests ratio
OK (200),0.8199
Not found (404),0.0683
Moved permanently (301),0.0573
Moved temporarily (302),0.0279
Page could not be reached,0.0148
robots.txt not available,0.0103
Other client error (4XX),0.0009
Not modified (304),0.0005
