Response,Total requests ratio
OK (200),0.8956
Not found (404),0.0589
Moved temporarily (302),0.0299
Moved permanently (301),0.0105
Not modified (304),0.0040
robots.txt not available,0.0006
Other client error (4XX),0.0004
Page could not be reached,0.0002
