Response,Total requests ratio
OK (200),0.9052
Not found (404),0.0429
Moved temporarily (302),0.0211
robots.txt not available,0.0126
Page could not be reached,0.0090
Moved permanently (301),0.0056
Not modified (304),0.0033
Other client error (4XX),0.0004
