Tipo de arquivo,Relação do total de solicitações
HTML,0.3869
Outro tipo de arquivo,0.3363
JavaScript,0.1399
Imagem,0.0714
CSS,0.0491
Distribuição,0.0030
JSON,0.0015
Desconhecido (solicitações com falha),0.0119
